Textbox67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E=Excused   L=Late (15 minutes or less)   T=Tardy   X=Absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox99,Textbox200,Textbox104,Textbox106,Textbox116,Textbox117,Textbox118,Textbox119,Textbox120,Textbox121,Textbox122,Textbox123,StudentID,StudentName,Grade,Textbox10,Textbox15,Textbox107,Textbox108,Textbox110,Textbox111,Textbox112,Textbox113,Textbox114,Textbox115,Textbox127,Textbox128,Textbox129,Textbox130,Textbox132,Textbox133,Textbox134,Textbox135,Textbox47,Textbox49,Textbox50,Textbox51,Textbox52,Textbox54,Textbox55,Textbox56,Textbox57,Textbox58,Textbox59,Textbox60,Textbox61,Textbox62,Textbox63,Textbox64,cycldayc,Date,Period0,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,TotalAbsent,cntUnexcused,TotalTardy,AbsenceDay
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4577,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,1/4/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4578,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,1/5/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4579,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,1/16/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4580,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,1/22/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4581,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,2/8/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4582,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,3/6/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4583,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,3/7/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4584,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,3/8/2018,X,,,,,,,,,,,0,1,0,1
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4585,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,3/9/2018,X,,,,,,,,,,,0,1,0,1
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4586,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,3/12/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4587,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,3/23/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4588,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,4/12/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4589,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,4/16/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4590,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,4/23/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4591,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,4/24/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4592,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,4/25/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4047,"Rees, Milton ",0,Milton Rees,(801)123-4593,A / T,14-Dec,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,3,14,12,,,,,,,,,,,,,,,,,,5/1/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4048,"Thorpe, Ryley ",0,Ryley Thorpe,(801)123-4594,A / T,0/ 0,2-Apr,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,4,0,2,4,Cycle Day  Totals,0/ 0,2-Apr,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,4,0,2,4,,,,,,,,,,,,,,,,,
Date,1,2,3,4,5,6,7,8,,,,4048,"Thorpe, Ryley ",0,Ryley Thorpe,(801)123-4595,A / T,0/ 0,2-Apr,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,4,0,2,4,,,,,,,,,,,,,,,,,,9/25/2017,,T,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4048,"Thorpe, Ryley ",0,Ryley Thorpe,(801)123-4596,A / T,0/ 0,2-Apr,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,4,0,2,4,,,,,,,,,,,,,,,,,,11/16/2017,,E,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4048,"Thorpe, Ryley ",0,Ryley Thorpe,(801)123-4597,A / T,0/ 0,2-Apr,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,4,0,2,4,,,,,,,,,,,,,,,,,,1/18/2018,,E,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4048,"Thorpe, Ryley ",0,Ryley Thorpe,(801)123-4598,A / T,0/ 0,2-Apr,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,4,0,2,4,,,,,,,,,,,,,,,,,,1/19/2018,,E,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4048,"Thorpe, Ryley ",0,Ryley Thorpe,(801)123-4599,A / T,0/ 0,2-Apr,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,4,0,2,4,,,,,,,,,,,,,,,,,,2/7/2018,,E,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4048,"Thorpe, Ryley ",0,Ryley Thorpe,(801)123-4600,A / T,0/ 0,2-Apr,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,4,0,2,4,,,,,,,,,,,,,,,,,,4/27/2018,,L,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4601,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,Cycle Day  Totals,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4602,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,8/24/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4603,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,8/31/2017,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4604,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,9/1/2017,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4605,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,9/5/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4606,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,9/22/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4607,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,10/2/2017,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4608,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,10/3/2017,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4609,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,10/27/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4610,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,10/31/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4611,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,11/1/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4612,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,11/3/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4613,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,11/9/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4614,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,11/10/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4615,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,11/13/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4616,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,11/20/2017,X,,,,,,,,,,,0,1,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4617,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,11/21/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4618,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,11/27/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4619,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,11/29/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4620,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,12/1/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4621,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,12/4/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4622,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,12/5/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4623,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,12/11/2017,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4624,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,12/12/2017,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4625,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,12/13/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4626,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,12/19/2017,X,,,,,,,,,,,0,1,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4627,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,1/22/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4628,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,1/23/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4629,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,1/25/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4630,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,1/31/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4631,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,2/1/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4632,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,2/2/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4633,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,2/5/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4634,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,2/6/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4635,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,2/8/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4636,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,2/12/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,4173,"Mueller, Murray ",0,Murray Mueller,(801)123-4637,A / T,23/ 48,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,20,3,48,23,,,,,,,,,,,,,,,,,,2/14/2018,L,,,,,,,,,,,0,0,1,0
